b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOAKIMP12A8C130995	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOAPDEY12A81C210A9	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOBBMDR12A8C13253B	2
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOBFNSP12AF72A0E22	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOBFOVM12A58A7D494	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOBNZDC12A6D4FC103	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOBSUJE12A6D4F8CF5	2
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOBVFZR12A6D4F8AE3	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOBXALG12A8C13C108	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOBXHDL12A81C204C0	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOBYHAJ12A6701BF1D	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOCNMUH12A6D4F6E6D	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SODACBL12A8C13C273	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SODDNQT12A6D4F5F7E	5
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SODXRTY12AB0180F3B	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SODZWFT12A8C13C0E4	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOEGVZY12A58A7857E	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOEKWEA12A6D4F5DC3	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOEOBYG12A6D4F8AE2	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOEWFWM12A8C1308BA	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOFFJPX12A6D4F7456	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOFGUAY12AB017B0A8	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOFRQTD12A81C233C0	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOFTKSZ12A6D4F5DC5	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOFZFQU12A8C13CAB8	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOGJAOS12A6D4F7459	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOHQIAG12A8C136F64	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOHQWYZ12A6D4FA701	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOHQZCA12A6D4FB317	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOIAOBY12A8C13BF75	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOIQOQT12A8C136F96	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOISWBZ12A8C13C0F7	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOIYTOA12A6D4F9A23	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOIZAZL12A6701C53B	5
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOJNNUA12A8AE48C7A	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOJPFQG12A58A7833A	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOJTEDZ12A58A7CB3D	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOKRIMP12A6D4F5DA3	5
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOKSIKA12A6D4F5DC7	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOKUZGZ12A8C136F88	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOLFJVY12A6D4F9DCA	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOLGNOE12A8C139CA9	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOLLGNU12AF72A4D4F	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOLUHPJ12A8C13AB0F	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOLXHAI12A6D4FD6F3	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOMGIYR12AB0187973	6
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOMLMKI12A81C204BC	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOMSQJY12A8C138539	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOMZWUW12A8C1400BC	6
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SONKSNV12A58A7F654	2
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SONRXOY12AB0181E84	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SONSAEZ12A8C138D7A	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SONVJAW12A8C139EFB	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SONYTAN12A8C13BF88	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOOCURD12A81C21C23	5
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOOGGEX12A58A7DACF	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOOKGRB12A8C13CD66	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOOSIVQ12A6D4F8AE0	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOPBCSY12A6D4F5DC4	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOPCVQE12AC468AF36	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOPZAUC12A58A7DB24	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOQDBOA12A8C13E5E6	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOQEMEN12A8C13BF8B	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOQIVUD12AB01821D2	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOQJLDY12AAF3B456D	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOQLCKR12A81C22440	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOQMUDW12A58A7AF03	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SORDDVI12A8C136F53	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SORJNVW12A8C13BF90	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SORPMYJ12AF729EB90	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SORQHCG12A58A7EEBA	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SORSAJY12A6D4F7457	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SORUFVF12AB018230B	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SORWLTW12A670208FA	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SORZASF12A6D4F8CFA	2
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOSYBEV12AB0182933	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOTCPHF12A8C13BF9B	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOTFATN12A6D4FA74D	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOTGVEX12A8C136F82	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOTHMIK12A8C136FA1	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOTLVCL12AB0182D22	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOTRSFZ12A8C142BF6	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOUHNSN12A8C13C1A4	2
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOUKXIN12A8C133C7F	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOUQUBU12AF72A47B3	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOVAJXX12A8AE47D5C	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOVHRGF12A8C13852F	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOVQEYZ12A8C1379D8	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOVYIYI12A8C138D88	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOVZRXZ12A58A77A88	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOWEZSI12A81C21CE6	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOWMHHL12A8C14178E	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOWNDCE12A6D4FB304	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOWQLXP12AF72A08A2	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOWSPUS12AC468BEE3	1
b80344d063b5ccb3212f76538f3d9e43d87dca9e	SOXMIUS12A8C13CD59	1
