1,2014-04-07T10:51:09.277Z,214536502,0
1,2014-04-07T10:54:09.868Z,214536500,0
1,2014-04-07T10:54:46.998Z,214536506,0
1,2014-04-07T10:57:00.306Z,214577561,0
2,2014-04-07T13:56:37.614Z,214662742,0
2,2014-04-07T13:57:19.373Z,214662742,0
2,2014-04-07T13:58:37.446Z,214825110,0
2,2014-04-07T13:59:50.710Z,214757390,0
2,2014-04-07T14:00:38.247Z,214757407,0
2,2014-04-07T14:02:36.889Z,214551617,0
3,2014-04-02T13:17:46.940Z,214716935,0
3,2014-04-02T13:26:02.515Z,214774687,0
3,2014-04-02T13:30:12.318Z,214832672,0
4,2014-04-07T12:09:10.948Z,214836765,0
4,2014-04-07T12:26:25.416Z,214706482,0
6,2014-04-06T16:58:20.848Z,214701242,0
6,2014-04-06T17:02:26.976Z,214826623,0
7,2014-04-02T06:38:53.104Z,214826835,0
7,2014-04-02T06:39:05.854Z,214826715,0
8,2014-04-06T08:49:58.728Z,214838855,0
8,2014-04-06T08:52:12.647Z,214838855,0
9,2014-04-06T11:26:24.127Z,214576500,0
9,2014-04-06T11:28:54.654Z,214576500,0
9,2014-04-06T11:29:13.479Z,214576500,0
11,2014-04-03T10:44:35.672Z,214821275,0
11,2014-04-03T10:45:01.674Z,214821275,0
11,2014-04-03T10:45:29.873Z,214821371,0
11,2014-04-03T10:46:12.162Z,214821371,0
11,2014-04-03T10:46:57.355Z,214821371,0
11,2014-04-03T10:53:22.572Z,214717089,0
11,2014-04-03T10:53:49.875Z,214563337,0
11,2014-04-03T10:55:19.267Z,214706462,0
11,2014-04-03T10:55:47.327Z,214717436,0
11,2014-04-03T10:56:30.520Z,214743335,0
11,2014-04-03T10:57:19.331Z,214826837,0
11,2014-04-03T10:57:39.433Z,214819762,0
12,2014-04-02T10:30:13.176Z,214717867,0
12,2014-04-02T10:33:12.621Z,214717867,0
13,2014-04-06T14:50:13.638Z,214836761,0
13,2014-04-06T14:52:54.363Z,214684513,0
13,2014-04-06T14:53:18.268Z,214836761,0
14,2014-04-01T10:09:01.362Z,214577732,0
14,2014-04-01T10:11:14.773Z,214587013,0
14,2014-04-01T10:12:36.482Z,214577732,0
17,2014-04-06T11:34:14.289Z,214826897,0
17,2014-04-06T11:34:16.193Z,214820441,0
16,2014-04-05T13:08:01.626Z,214684093,0
16,2014-04-05T13:08:39.897Z,214684093,0
16,2014-04-05T13:20:53.092Z,214684093,0
19,2014-04-01T20:52:12.357Z,214561790,0
19,2014-04-01T20:52:13.758Z,214561790,0
19,2014-04-01T20:54:53.606Z,214611457,0
19,2014-04-01T20:54:54.651Z,214611457,0
18,2014-04-01T05:26:12.539Z,214577732,0
18,2014-04-01T05:26:32.156Z,214577732,0
21,2014-04-07T09:01:28.552Z,214838503,0
21,2014-04-07T09:03:39.903Z,214838503,0
21,2014-04-07T09:04:00.598Z,214838503,0
21,2014-04-07T09:06:09.115Z,214838503,0
21,2014-04-07T09:07:42.212Z,214838503,0
